ref_temp,measured_voltage,temp,,Matthew,,Residuals,percent,max,min
25,-0.167,20.9,,20.89762223,,0.002377775,0.011376914,,
25,-0.166,20.925,,20.92238508,,0.002614915,0.012496607,,
25,-0.165,20.95,,20.94714664,,0.002853363,0.013619871,,
25,-0.164,20.975,,20.97190688,,0.003093118,0.014746691,,
25,-0.163,21,,20.99666582,,0.003334181,0.015877054,,
25,-0.162,21,,21.02142345,,-0.021423449,-0.102016423,,
25,-0.161,21.02439024,,21.04617977,,-0.021789528,-0.103639287,,
25,-0.16,21.04878049,,21.07093479,,-0.022154301,-0.105252183,,
25,-0.159,21.07317073,,21.0956885,,-0.022517767,-0.106855145,,
25,-0.158,21.09756098,,21.1204409,,-0.022879927,-0.108448211,,
25,-0.157,21.12195122,,21.145192,,-0.023240782,-0.110031414,,
25,-0.156,21.14634146,,21.16994179,,-0.02360033,-0.111604792,,
25,-0.155,21.17073171,,21.19469028,,-0.023958574,-0.113168377,,
25,-0.154,21.19512195,,21.21943746,,-0.024315512,-0.114722206,,
25,-0.153,21.2195122,,21.24418334,,-0.024671145,-0.116266313,,
25,-0.152,21.24390244,,21.26892791,,-0.025025473,-0.117800733,,
25,-0.151,21.26829268,,21.29367118,,-0.025378497,-0.119325501,,
25,-0.15,21.29268293,,21.31841314,,-0.025730216,-0.120840649,,
25,-0.149,21.31707317,,21.3431538,,-0.026080632,-0.122346214,,
25,-0.148,21.34146341,,21.36789316,,-0.026429744,-0.123842228,,
25,-0.147,21.36585366,,21.39263121,,-0.026777552,-0.125328725,,
25,-0.146,21.3902439,,21.41736796,,-0.027124057,-0.12680574,,
25,-0.145,21.41463415,,21.44210341,,-0.027469259,-0.128273305,,
25,-0.144,21.43902439,,21.46683755,,-0.027813158,-0.129731454,,
25,-0.143,21.46341463,,21.49157039,,-0.028155755,-0.13118022,,
25,-0.142,21.48780488,,21.51630193,,-0.028497049,-0.132619636,,
25,-0.141,21.51219512,,21.54103216,,-0.028837041,-0.134049736,,
25,-0.14,21.53658537,,21.5657611,,-0.029175731,-0.135470551,,
25,-0.139,21.56097561,,21.59048873,,-0.029513119,-0.136882115,,
25,-0.138,21.58536585,,21.61521506,,-0.029849207,-0.13828446,,
25,-0.137,21.6097561,,21.63994009,,-0.030183993,-0.139677618,,
25,-0.136,21.63414634,,21.66466382,,-0.030517478,-0.141061622,,
25,-0.135,21.65853659,,21.68938625,,-0.030849662,-0.142436502,,
25,-0.134,21.68292683,,21.71410738,,-0.031180546,-0.143802293,,
25,-0.133,21.70731707,,21.7388272,,-0.03151013,-0.145159024,,
25,-0.132,21.73170732,,21.76354573,,-0.031838413,-0.146506728,,
25,-0.131,21.75609756,,21.78826296,,-0.032165397,-0.147845435,,
25,-0.13,21.7804878,,21.81297889,,-0.032491082,-0.149175179,,
25,-0.129,21.80487805,,21.83769352,,-0.032815467,-0.150495988,,
25,-0.128,21.82926829,,21.86240685,,-0.033138553,-0.151807896,,
25,-0.127,21.85365854,,21.88711888,,-0.03346034,-0.153110931,,
25,-0.126,21.87804878,,21.91182961,,-0.033780829,-0.154405126,,
25,-0.125,21.90243902,,21.93653904,,-0.034100019,-0.155690511,,
25,-0.124,21.92682927,,21.96124718,,-0.034417912,-0.156967116,,
25,-0.123,21.95121951,,21.98595402,,-0.034734506,-0.158234972,,
25,-0.122,22,,22.01065956,,-0.010659559,-0.048452541,,
25,-0.121,22.025,,22.0353638,,-0.010363802,-0.047054721,,
25,-0.12,22.05,,22.06006675,,-0.010066748,-0.045654188,,
25,-0.119,22.075,,22.0847684,,-0.009768398,-0.044250952,,
25,-0.118,22.1,,22.10946875,,-0.00946875,-0.042845024,,
25,-0.117,22.125,,22.13416781,,-0.009167806,-0.041436413,,
25,-0.116,22.15,,22.15886557,,-0.008865566,-0.040025131,,
25,-0.115,22.175,,22.18356203,,-0.00856203,-0.038611185,,
25,-0.114,22.2,,22.2082572,,-0.008257199,-0.037194588,,
25,-0.113,22.225,,22.23295107,,-0.007951071,-0.035775349,,
25,-0.112,22.25,,22.25764365,,-0.007643649,-0.034353477,,
25,-0.111,22.275,,22.28233493,,-0.007334931,-0.032928984,,
25,-0.11,22.3,,22.30702492,,-0.007024919,-0.031501878,,
25,-0.109,22.325,,22.33171361,,-0.006713612,-0.030072169,,
25,-0.108,22.35,,22.35640101,,-0.006401011,-0.028639868,,
25,-0.107,22.375,,22.38108712,,-0.006087115,-0.027204984,,
25,-0.106,22.4,,22.40577193,,-0.005771926,-0.025767526,,
25,-0.105,22.425,,22.43045544,,-0.005455443,-0.024327505,,
25,-0.104,22.45,,22.45513767,,-0.005137667,-0.02288493,,
25,-0.103,22.475,,22.4798186,,-0.004818597,-0.02143981,,
25,-0.102,22.5,,22.50449824,,-0.004498235,-0.019992156,,
25,-0.101,22.525,,22.52917658,,-0.00417658,-0.018541976,,
25,-0.1,22.55,,22.55385363,,-0.003853633,-0.01708928,,
25,-0.099,22.575,,22.57852939,,-0.003529393,-0.015634077,,
25,-0.098,22.6,,22.60320386,,-0.003203861,-0.014176378,,
25,-0.097,22.625,,22.62787704,,-0.002877038,-0.01271619,,
25,-0.096,22.65,,22.65254892,,-0.002548923,-0.011253524,,
25,-0.095,22.675,,22.67721952,,-0.002219517,-0.009788388,,
25,-0.094,22.7,,22.70188882,,-0.00188882,-0.008320792,,
25,-0.093,22.725,,22.72655683,,-0.001556832,-0.006850745,,
25,-0.092,22.75,,22.75122355,,-0.001223553,-0.005378255,,
25,-0.091,22.775,,22.77588898,,-0.000888984,-0.003903333,,
25,-0.09,22.8,,22.80055313,,-0.000553125,-0.002425988,,
25,-0.089,22.825,,22.82521598,,-0.000215976,-0.000946227,,
25,-0.088,22.85,,22.84987754,,0.000122462,0.00053594,,
25,-0.087,22.875,,22.87453781,,0.00046219,0.002020503,,
25,-0.086,22.9,,22.89919679,,0.000803207,0.003507455,,
25,-0.085,22.925,,22.92385449,,0.001145513,0.004996786,,
25,-0.084,22.95,,22.94851089,,0.001489108,0.006488488,,
25,-0.083,22.975,,22.97316601,,0.001833991,0.007982551,,
25,-0.082,23,,22.99781984,,0.002180163,0.009478968,,
25,-0.081,23,,23.02247238,,-0.022472378,-0.097705991,,
25,-0.08,23.02439024,,23.04712363,,-0.022733387,-0.098736108,,
25,-0.079,23.04878049,,23.0717736,,-0.022993108,-0.099758459,,
25,-0.078,23.07317073,,23.09642227,,-0.023251542,-0.10077307,,
25,-0.077,23.09756098,,23.12106967,,-0.023508689,-0.101779965,,
25,-0.076,23.12195122,,23.14571577,,-0.02376455,-0.102779171,,
25,-0.075,23.14634146,,23.17036059,,-0.024019123,-0.103770712,,
25,-0.074,23.17073171,,23.19500412,,-0.024272411,-0.104754614,,
25,-0.073,23.19512195,,23.21964636,,-0.024524412,-0.105730902,,
25,-0.072,23.2195122,,23.24428732,,-0.024775127,-0.106699602,,
25,-0.071,23.24390244,,23.268927,,-0.025024557,-0.107660737,,
25,-0.07,23.26829268,,23.29356538,,-0.025272701,-0.108614332,,
25,-0.069,23.29268293,,23.31820249,,-0.02551956,-0.109560413,,
25,-0.068,23.31707317,,23.3428383,,-0.025765134,-0.110499005,,
25,-0.067,23.34146341,,23.36747284,,-0.026009423,-0.11143013,,
25,-0.066,23.36585366,,23.39210609,,-0.026252428,-0.112353814,,
25,-0.065,23.3902439,,23.41673805,,-0.026494148,-0.113270082,,
25,-0.064,23.41463415,,23.44136873,,-0.026734585,-0.114178956,,
25,-0.063,23.43902439,,23.46599813,,-0.026973738,-0.115080462,,
25,-0.062,23.46341463,,23.49062624,,-0.027211607,-0.115974623,,
25,-0.061,23.48780488,,23.51525307,,-0.027448193,-0.116861464,,
25,-0.06,23.51219512,,23.53987862,,-0.027683495,-0.117741007,,
25,-0.059,23.53658537,,23.56450288,,-0.027917515,-0.118613277,,
25,-0.058,23.56097561,,23.58912586,,-0.028150252,-0.119478297,,
25,-0.057,23.58536585,,23.61374756,,-0.028381707,-0.120336091,,
25,-0.056,23.6097561,,23.63836798,,-0.02861188,-0.121186682,,
25,-0.055,23.63414634,,23.66298711,,-0.028840771,-0.122030093,,
25,-0.054,23.65853659,,23.68760497,,-0.02906838,-0.122866348,,
25,-0.053,23.68292683,,23.71222154,,-0.029294707,-0.123695469,,
25,-0.052,23.70731707,,23.73683683,,-0.029519754,-0.12451748,,
25,-0.051,23.73170732,,23.76145084,,-0.029743519,-0.125332404,,
25,-0.05,23.75609756,,23.78606356,,-0.029966004,-0.126140263,,
25,-0.049,23.7804878,,23.81067501,,-0.030187208,-0.126941079,,
25,-0.048,23.80487805,,23.83528518,,-0.030407132,-0.127734877,,
25,-0.047,23.82926829,,23.85989407,,-0.030625775,-0.128521678,,
25,-0.046,23.85365854,,23.88450168,,-0.030843139,-0.129301504,,
25,-0.045,23.87804878,,23.909108,,-0.031059224,-0.130074379,,
25,-0.044,23.90243902,,23.93371305,,-0.031274028,-0.130840323,,
25,-0.043,23.92682927,,23.95831682,,-0.031487554,-0.13159936,,
25,-0.042,23.95121951,,23.98291931,,-0.031699801,-0.132351512,,
25,-0.041,24,,24.00752053,,-0.007520525,-0.031335522,,
25,-0.04,24.025,,24.03212046,,-0.007120459,-0.029637706,,
25,-0.039,24.05,,24.05671911,,-0.006719114,-0.027938106,,
25,-0.038,24.075,,24.08131649,,-0.006316492,-0.026236726,,
25,-0.037,24.1,,24.10591259,,-0.005912592,-0.024533575,,
25,-0.036,24.125,,24.13050741,,-0.005507414,-0.022828658,,
25,-0.035,24.15,,24.15510096,,-0.005100959,-0.021121982,,
25,-0.034,24.175,,24.17969323,,-0.004693226,-0.019413553,,
25,-0.033,24.2,,24.20428422,,-0.004284217,-0.017703378,,
25,-0.032,24.225,,24.22887393,,-0.003873932,-0.015991463,,
25,-0.031,24.25,,24.25346237,,-0.00346237,-0.014277814,,
25,-0.03,24.275,,24.27804953,,-0.003049532,-0.012562439,,
25,-0.029,24.3,,24.30263542,,-0.002635418,-0.010845342,,
25,-0.028,24.325,,24.32722003,,-0.002220028,-0.00912653,,
25,-0.027,24.35,,24.35180336,,-0.001803363,-0.00740601,,
