ref_temp,measured_voltage,temp
25.0,0.022,25.536585365853657
25.0,0.023,25.560975609756095
25.0,0.024,25.585365853658537
25.0,0.025,25.60975609756097
25.0,0.026,25.634146341463413
25.0,0.027,25.65853658536585
25.0,0.028,25.682926829268293
25.0,0.029,25.707317073170728
25.0,0.03,25.73170731707317
25.0,0.031,25.756097560975608
25.0,0.032,25.78048780487805
25.0,0.033,25.804878048780484
25.0,0.034,25.829268292682926
25.0,0.035,25.853658536585364
25.0,0.036,25.878048780487806
25.0,0.037,25.90243902439024
25.0,0.038,25.926829268292682
25.0,0.039,25.95121951219512
25.0,0.04,26.0
25.0,0.041,26.025
25.0,0.042,26.05
25.0,0.043,26.074999999999996
25.0,0.044,26.1
25.0,0.045,26.124999999999996
25.0,0.046,26.15
25.0,0.047,26.174999999999997
25.0,0.048,26.2
25.0,0.049,26.224999999999998
25.0,0.05,26.25
25.0,0.051,26.275
25.0,0.052,26.3
25.0,0.053,26.324999999999996
25.0,0.054,26.35
25.0,0.055,26.374999999999996
25.0,0.056,26.4
25.0,0.057,26.424999999999997
25.0,0.058,26.45
25.0,0.059,26.474999999999998
25.0,0.06,26.5
25.0,0.061,26.525
25.0,0.062,26.55
25.0,0.063,26.574999999999996
25.0,0.064,26.6
25.0,0.065,26.624999999999996
25.0,0.066,26.65
25.0,0.067,26.674999999999997
25.0,0.068,26.7
25.0,0.069,26.724999999999998
25.0,0.07,26.75
25.0,0.071,26.775
25.0,0.072,26.8
25.0,0.073,26.824999999999996
25.0,0.074,26.85
25.0,0.075,26.874999999999996
25.0,0.076,26.9
25.0,0.077,26.924999999999997
25.0,0.078,26.95
25.0,0.079,26.974999999999998
25.0,0.08,27.0
25.0,0.081,27.0
25.0,0.082,27.02439024390244
25.0,0.083,27.048780487804876
25.0,0.084,27.07317073170732
25.0,0.085,27.097560975609756
25.0,0.086,27.121951219512198
25.0,0.087,27.146341463414636
25.0,0.088,27.170731707317078
25.0,0.089,27.195121951219512
25.0,0.09,27.219512195121954
25.0,0.091,27.243902439024392
25.0,0.092,27.268292682926834
25.0,0.093,27.29268292682927
25.0,0.094,27.31707317073171
25.0,0.095,27.34146341463415
25.0,0.096,27.36585365853659
25.0,0.097,27.390243902439025
25.0,0.098,27.414634146341466
25.0,0.099,27.439024390243905
25.0,0.1,27.463414634146346
25.0,0.101,27.48780487804878
25.0,0.102,27.512195121951223
25.0,0.103,27.53658536585366
25.0,0.104,27.560975609756103
25.0,0.105,27.585365853658537
25.0,0.106,27.60975609756098
25.0,0.107,27.634146341463417
25.0,0.108,27.65853658536586
25.0,0.109,27.682926829268293
25.0,0.11,27.707317073170735
25.0,0.111,27.731707317073173
25.0,0.112,27.756097560975615
25.0,0.113,27.78048780487805
25.0,0.114,27.80487804878049
25.0,0.115,27.82926829268293
25.0,0.116,27.85365853658537
25.0,0.117,27.878048780487806
25.0,0.118,27.902439024390244
25.0,0.119,27.926829268292686
25.0,0.12,27.951219512195127
25.0,0.121,27.975609756097562
25.0,0.122,28.0
25.0,0.123,28.024390243902435
25.0,0.124,28.048780487804876
25.0,0.125,28.073170731707314
25.0,0.126,28.09756097560975
25.0,0.127,28.12195121951219
25.0,0.128,28.146341463414632
25.0,0.129,28.17073170731707
25.0,0.13,28.195121951219505
25.0,0.131,28.219512195121947
25.0,0.132,28.24390243902439
25.0,0.133,28.268292682926827
25.0,0.134,28.29268292682926
25.0,0.135,28.317073170731703
25.0,0.136,28.341463414634145
25.0,0.137,28.365853658536583
25.0,0.138,28.390243902439018
25.0,0.139,28.41463414634146
25.0,0.14,28.4390243902439
25.0,0.141,28.46341463414634
25.0,0.142,28.487804878048774
25.0,0.143,28.512195121951216
25.0,0.144,28.53658536585365
25.0,0.145,28.560975609756092
25.0,0.146,28.58536585365853
25.0,0.147,28.60975609756097
25.0,0.148,28.634146341463406
25.0,0.149,28.658536585365848
25.0,0.15,28.682926829268286
25.0,0.151,28.707317073170728
25.0,0.152,28.731707317073162
25.0,0.153,28.756097560975604
25.0,0.154,28.780487804878042
25.0,0.155,28.804878048780484
25.0,0.156,28.82926829268292
25.0,0.157,28.85365853658536
25.0,0.158,28.8780487804878
25.0,0.159,28.90243902439024
25.0,0.16,28.926829268292675
25.0,0.161,28.951219512195117
25.0,0.162,28.975609756097555
25.0,0.163,29.0
25.0,0.164,29.024390243902438
25.0,0.165,29.048780487804876
25.0,0.166,29.073170731707314
25.0,0.167,29.097560975609756
25.0,0.168,29.121951219512194
25.0,0.169,29.146341463414636
25.0,0.17,29.17073170731707
25.0,0.171,29.195121951219512
25.0,0.172,29.21951219512195
25.0,0.173,29.243902439024392
25.0,0.174,29.268292682926827
25.0,0.175,29.29268292682927
25.0,0.176,29.317073170731707
25.0,0.177,29.34146341463415
25.0,0.178,29.365853658536583
25.0,0.179,29.390243902439025
25.0,0.18,29.414634146341463
25.0,0.181,29.439024390243905
25.0,0.182,29.46341463414634
25.0,0.183,29.48780487804878
25.0,0.184,29.51219512195122
25.0,0.185,29.53658536585366
25.0,0.186,29.560975609756095
25.0,0.187,29.585365853658537
25.0,0.188,29.609756097560975
25.0,0.189,29.634146341463417
25.0,0.19,29.65853658536585
25.0,0.191,29.682926829268293
25.0,0.192,29.70731707317073
25.0,0.193,29.731707317073173
25.0,0.194,29.756097560975608
25.0,0.195,29.78048780487805
25.0,0.196,29.804878048780488
25.0,0.197,29.82926829268293
25.0,0.198,29.853658536585364
